X,Y,Z
8.8941,-9.00854,-35.8251
8.65975,-9.01128,-35.5374
8.74113,-9.40015,-35.5883
8.71076,-9.17705,-35.5376
8.5353,-9.43377,-35.4053
8.44984,-9.17743,-35.4295
8.65975,-9.01128,-35.5374
8.46418,-9.00907,-35.4393
9.36717,-9.43504,-36.5877
9.51435,-9.41146,-36.8966
9.33327,-9.15969,-36.5939
9.54831,-9.14861,-36.8862
9.35795,-8.99344,-36.588
9.56537,-9.01657,-36.881
9.70822,-9.01046,-37.1678
9.72075,-9.41758,-37.1679
8.4682,-9.43403,-35.2884
8.5353,-9.43377,-35.4053
8.42284,-9.17722,-35.3251
8.44984,-9.17743,-35.4295
8.40274,-9.00975,-35.3322
8.46418,-9.00907,-35.4393
8.48265,-8.82332,-35.4458
8.41685,-8.82416,-35.3246
8.54249,-8.47786,-35.3062
8.61171,-8.47647,-35.425
8.60769,-8.19557,-35.3612
8.53026,-8.19873,-35.2479
9.36717,-9.43504,-36.5877
9.33327,-9.15969,-36.5939
9.30553,-9.43542,-36.4658
9.25912,-9.15425,-36.4731
9.27704,-8.98964,-36.473
9.35795,-8.99344,-36.588
9.33205,-8.7942,-36.5901
9.30166,-8.79403,-36.4651
9.38439,-8.43394,-36.5694
9.30614,-8.43081,-36.4536
9.39435,-8.189,-36.5379
9.30157,-8.17949,-36.4004
9.39998,-8.06184,-36.5137
9.30115,-8.04759,-36.3655
9.00488,-9.42665,-35.945
8.95206,-9.14326,-35.9479
8.94339,-9.41691,-35.8347
8.89263,-9.15276,-35.8232
8.8941,-9.00854,-35.8251
8.952,-9.00706,-35.9474
8.90016,-8.79722,-35.8343
8.96404,-8.79588,-35.9509
9.00522,-8.42877,-35.9029
8.94266,-8.43161,-35.8223
8.92576,-8.17581,-35.8051
9.0002,-8.16987,-35.919
8.99529,-8.03916,-35.906
8.91855,-8.04807,-35.7938
9.39454,-8.04937,-36.5117
9.40152,-8.05091,-36.523
9.36742,-8.43212,-36.5686
9.37377,-8.4324,-36.5804
9.40574,-8.04932,-36.5047
9.39454,-8.04937,-36.5117
9.37916,-8.43205,-36.5623
9.36742,-8.43212,-36.5686
9.36742,-8.43212,-36.5686
9.37377,-8.4324,-36.5804
9.32054,-8.79453,-36.5896
9.32713,-8.79451,-36.6013
9.37916,-8.43205,-36.5623
9.36742,-8.43212,-36.5686
9.33195,-8.79448,-36.5834
9.32054,-8.79453,-36.5896
9.35716,-8.99505,-36.5975
9.35079,-8.99481,-36.5857
9.32713,-8.79451,-36.6013
9.32054,-8.79453,-36.5896
9.36247,-8.9969,-36.5795
9.33195,-8.79448,-36.5834
9.35079,-8.99481,-36.5857
9.32054,-8.79453,-36.5896
9.39479,-9.53015,-36.5876
9.38293,-9.53013,-36.5938
9.34164,-9.15469,-36.5958
